id,train_name,src,dest,train_type,pantry_avl
13352,Alleppey Dhanbad Jn DHANBAD EXPRESS,ALLP,DHN,EXP,1
12425,New Delhi Jammu Tawi JAMMU RAJDHANI,NDLS,JAT,RAJ,1
14012,Hoshiarpur Delhi EXPRESS,HSX,DLI,EXP,0
16316,Kochuveli Ksr Bengaluru BANGALORE EXPRESS,KCVL,MYS,EXP,0
22619,Bilaspur Jn Tirunelveli EXPRESS,BSP,TEN,SF,0
22939,Hapa Bilaspur Jn EXPRESS,HAPA,BSP,SF,0
12647,Coimbatore Jn Hazrat Nizamuddin KONGU EXPRESS,CBE,NZM,SF,0
12217,Kochuveli Chandigarh SAMPARK KRANTI,KCVL,CDG,EXP,1
12469,Kanpur Central Jammu Tawi EXPRESS,CNB,JAT,SF,0
22101,LTT MDU SF SPL,LTT,MDU,ICE,0
12901,Mumbai Central Ahmedabad Jn GUJARAT MAIL,DDR,ADI,SF,0
16106,TIRUCHENDUR CHENNAI EGMORE CHENNAI EXPRESS,TCN,MS,EXP,0
12492,Jammu Tawi Barauni Jn MAUR DHAWJ EXPRESS,JAT,BJU,SF,0
12615,Chennai Central Delhi S Rohilla GRAND TRUNK EXPRESS,MAS,NDLS,SF,1
12870,Howrah Jn Mumbai Cst EXPRESS,HWH,CSMT,SF,1
12722,Hazrat Nizamuddin Hyderabad Decan DAKSHIN EXPRESS,NZM,HYB,SF,1
12792,Danapur Secunderabad Jn SECUNDERABAD EXPRESS,DNR,SC,SF,1
12707,Tirupati Hazrat Nizamuddin A P SAMPARK KRANTI,TPTY,NZM,EXP,1
14810,Jodhpur Jn Jaisalmer EXPRESS,JU,JSM,EXP,0
14313,Lokmanyatilak Bareilly BAREILLY EXPRESS,LTT,BE,EXP,0
12933,Mumbai Central Ahmedabad Jn KARNAVATI EXPRESS,MMCT,ADI,ICE,1
14512,Saharanpur Allahabad Jn NAUCHANDI EXPRESS,SRE,PYGS,EXP,0
14316,New Delhi Bareilly INTERCITY EXPRESS,NDLS,BE,ICE,0
19251,SOMNATH OKHA EXPRESS,SMNH,OKHA,EXP,0
12820,Anand Vihar Terminal Bhubaneswar ORISSA SAMPARK KRANTI,ANVT,BBS,EXP,1
